timeServer,timeBith,init,bayGate,bayBith,sellGate,sellBith,diffSell,diffBay
1624298991538,0,1,0.66288158,0.6616900125,0.6672518399999999,0.6707273625,-0.005561827499999894,-0.00784578250000001
1624298992054,0,1,0.66351032,0.6616900125,0.66671076,0.6707273625,-0.005020747499999922,-0.007217042499999993
1624298992537,0,1,0.66334066,0.6616900125,0.6661797,0.6707273625,-0.004489687500000006,-0.007386702499999953
1624298993052,0,1,0.6634205,0.6616900125,0.6661997399999999,0.6707273625,-0.004509727499999894,-0.007306862500000011
1624298993534,0,1,0.66334066,0.6616900125,0.6662197799999999,0.6707273625,-0.004529767499999893,-0.007386702499999953
1624298994059,0,1,0.66339056,0.6616900125,0.6663199799999999,0.6707273625,-0.0046299674999998874,-0.007336802500000017
1624298994594,0,1,0.6629714,0.6616900125,0.66641016,0.6707273625,-0.004720147499999938,-0.007755962499999991
1624298995048,0,1,0.66358018,0.6616900125,0.66624984,0.6707273625,-0.004559827499999947,-0.0071471825000000155
1624298995574,0,1,0.66329076,0.6616900125,0.6666406199999999,0.6707273625,-0.004950607499999871,-0.0074366025
1624298996103,0,1,0.66331072,0.6616900125,0.66615966,0.66735315,-0.004469647500000007,-0.00404242999999993
