"Number","bayGate","bayBith","sellGate","sellBith","diffSell","diffBay","timeServer","timeBith","timeGate","bayOrSellGate","bayOrSellBith"," init"
"51","0.93704216","0","0.94255134","0.9569547","-0.94255134","-0.01991254","1628698034507","1628698035360","1628698035357","2","-1","0"
"52","0.93693238","0","0.94254132","0.9569547","-0.94254132","-0.02002232","1628698034610","1628698035360","1628698035448","2","-1","0"
"53","0.93689246","0","0.94249122","0.9569547","-0.94249122","-0.02006224","1628698034734","1628698035360","1628698035540","2","-1","0"
"54","0.93689246","0","0.9424812","0.9569547","-0.9424812","-0.02006224","1628698034842","1628698035360","1628698035648","0","-1","0"
"55","0.93679266","0","0.94249122","0.9569547","-0.94249122","-0.02016204","1628698034900","1628698035360","1628698035747","2","-1","0"
"56","0.93704216","0","0.94249122","0.9569547","-0.94249122","-0.01991254","1628698035005","1628698035907","1628698035848","1","-1","0"
"57","0.93704216","0","0.94247118","0.9569547","-0.94247118","-0.01991254","1628698035120","1628698036032","1628698035918","0","-1","0"
"58","0.93704216","0","0.9424812","0.9569547","-0.9424812","-0.01991254","1628698035199","1628698036032","1628698036049","0","-1","0"
"59","0.93720184","0","0.94255134","0.9569547","-0.94255134","-0.01975286","1628698035312","1628698036194","1628698036115","2","-1","0"
"60","0.93715194","0","0.94267158","0.9569547","-0.94267158","-0.01980276","1628698035409","1628698036194","1628698036248","2","-1","0"
"61","0.93704216","0","0.94267158","0.9569547","-0.94267158","-0.01991254","1628698035808","1628698036660","1628698036650","1","-1","0"
"62","0.93704216","0","0.94259142","0.9569547","-0.94259142","-0.01991254","1628698035897","1628698036798","1628698036721","0","-1","0"
"63","0.9369723","0","0.94259142","0.9569547","-0.94259142","-0.0199824","1628698036507","1628698037294","1628698037350","1","-1","0"
"64","0.93689246","0","0.9424812","0.9569547","-0.9424812","-0.02006224","1628698036608","1628698037294","1628698037454","2","-1","0"
"65","0.93704216","0","0.94245114","0.9569547","-0.94245114","-0.01991254","1628698036703","1628698037294","1628698037533","2","-1","0"
"66","0.93689246","0","0.94245114","0.9569547","-0.94245114","-0.02006224","1628698036945","1628698037294","1628698037756","1","-1","0"
"67","0.93674276","0","0.94244112","0.9569547","-0.94244112","-0.02021194","1628698037009","1628698037294","1628698037853","2","-1","0"
"68","0.93679266","0","0.94237098","0.9569547","-0.94237098","-0.02016204","1628698037305","1628698037294","1628698038131","2","-1","0"
"69","0.93646332","0","0.94237098","0.9569547","-0.94237098","-0.02049138","1628698037406","1628698037294","1628698038240","1","-1","0"
"70","0.93673278","0","0.94247118","0.9569547","-0.94247118","-0.02022192","1628698037509","1628698037294","1628698038325","2","-1","0"
"71","0.93646332","0","0.9423309","0.9569547","-0.9423309","-0.02049138","1628698037608","1628698037294","1628698038429","2","-1","0"
"72","0.93674276","0","0.94244112","0.9569547","-0.94244112","-0.02021194","1628698037703","1628698037294","1628698038546","2","-1","0"
"73","0.93674276","0","0.9423309","0.9569547","-0.9423309","-0.02021194","1628698037859","1628698037294","1628698038638","0","-1","0"
"74","0.93620384","0","0.94201026","0.9569547","-0.94201026","-0.02075086","1628698037916","1628698037294","1628698038737","2","-1","0"
"75","0.93553518","0","0.94226076","0.9569547","-0.94226076","-0.02141952","1628698038008","1628698037294","1628698038847","2","-1","0"
"76","0.93539546","0","0.94226076","0.9569547","-0.94226076","-0.02155924","1628698038115","1628698037294","1628698038951","1","-1","0"
"77","0.93581462","0","0.94197018","0.9569547","-0.94197018","-0.02114008","1628698038197","1628698037294","1628698039056","2","-1","0"
"78","0.93578468","0","0.94201026","0.9569547","-0.94201026","-0.02117002","1628698038303","1628698037294","1628698039134","2","-1","0"
"79","0.93553518","0","0.94189002","0.9569547","-0.94189002","-0.02141952","1628698038408","1628698037294","1628698039251","2","-1","0"
